time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message,flightNumber
512000,10/10/2019 19:06,19.28343164,-99.13872559,0,Available with any HD 360 subscription,Available with any HD 360 subscription,7352.455354,0,0,10,0,0,7352.455354,0,0,0,0,0,0,189.6,0.3,-0.3,0,0,1024,1024,1024,1024,193.3,-2.4,45,3.789,3.793,3.789,3.797,0,0,0,134.51,7352.455354,0,6,P-GPS,,2
512100,10/10/2019 19:06,19.28343164,-99.13872559,0,,,7352.455354,0,0.000272428,10,0,0,7352.455354,0,0,0.000272428,0,0,0,189.6,0.3,-0.3,0,0,1024,1024,1024,1024,192,-2.4,45,3.789,3.793,3.789,3.797,0,0,0,134.51,7352.455354,0,6,P-GPS,,2
512200,10/10/2019 19:06,19.28343154,-99.13872557,0,,,7352.455354,0,0.034252626,10,0,0,7352.455354,0,0,0.034252626,0,0,0,189.6,0.3,-0.3,0,0,1024,1024,1024,1024,191.2,-2.4,45,3.789,3.793,3.789,3.797,0,0,0,134.51,7352.455354,0,6,P-GPS,,2
512300,10/10/2019 19:06,19.28343154,-99.13872557,0,,,7352.455354,0,0.034352035,10,0,0,7352.455354,0,0,0.034352035,0,0,0,189.6,0.3,-0.3,0,0,1024,1024,1024,1024,190.8,-2.4,45,3.789,3.793,3.789,3.797,0,0,0,134.51,7352.455354,0,6,P-GPS,,2
512400,10/10/2019 19:06,19.28343164,-99.13872557,0,,,7352.455354,0,0.005417487,10,0,0,7352.455354,0,0,0.034352035,0,0,0,189.6,0.3,-0.3,0,0,1024,1024,1024,1024,190.6,-2.4,45,3.789,3.793,3.789,3.797,0,0,0,134.51,7352.455354,0,6,P-GPS,,2
512500,10/10/2019 19:06,19.28343163,-99.13872556,0,,,7352.455354,0,0.011131759,10,0,0,7352.455354,0,0,0.034352035,0,0,0,189.6,0.3,-0.3,0,0,1024,1024,1024,1024,190.5,-2.4,45,3.789,3.793,3.789,3.797,0,0,0,134.51,7352.455354,0,6,P-GPS,,2
512600,10/10/2019 19:06,19.28343153,-99.13872565,0,,,7352.455354,0,0.044086616,10,0,0,7352.455354,0,0,0.044086616,0,0,0,189.6,0.3,-0.3,0,0,1024,1024,1024,1024,190.4,-2.4,45,3.789,3.793,3.789,3.797,0,0,0,134.51,7352.455354,0,6,P-GPS,,2
512700,10/10/2019 19:06,19.28343153,-99.13872565,0,,,7352.455354,0,0.044213912,10,0,0,7352.455354,0,0,0.044213912,0,0,0,189.6,0.3,-0.3,0,0,1024,1024,1024,1024,190.3,-2.4,45,3.789,3.793,3.789,3.797,0,0,0,134.51,7352.455354,0,6,P-GPS,,2
512800,10/10/2019 19:06,19.28343153,-99.13872566,0,,,7352.455354,0,0.044877954,10,0,15.168,7352.455354,0,0,0.044877954,0,0,0,189.6,0.3,-0.3,0,0,1024,1024,1024,1024,190.2,-2.4,45,3.789,3.793,3.789,3.797,0,0,0.97,134.51,7352.455354,0,6,P-GPS,Setting new Return-To-Home altitude to 30m (98 ft). Data Recorder File Index is 412,2
512900,10/10/2019 19:06,19.28343153,-99.13872566,0,,,7352.455354,0,0.045046261,10,0,15.168,7352.455354,0,0,0.045046261,0,0,0,189.6,0.3,-0.3,0,0,1024,1024,1024,1024,190.2,-2.4,45,3.789,3.793,3.789,3.797,0,0,0.97,134.51,7352.455354,0,6,P-GPS,,2
