time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
409100,10/10/2019 18:50,19.28332065,-99.13858417,0,Available with any HD 360 subscription,Available with any HD 360 subscription,7351.800949,0,0,9,0,0,7351.800949,0,0,0,0,0,0,131.9,-0.1,0.1,0,0,364,364,364,1627,136.3,-37.6,50,3.832,3.827,3.822,3.826,0,0,0,138.11,7351.800949,0,6,P-GPS,
409200,10/10/2019 18:50,19.28332061,-99.13858422,0,,,7351.800949,0,0.025289633,9,0,0,7351.800949,0,0,0.025289633,0,0,0,131.9,-0.1,0,0,0,364,364,364,1630,136.4,-37.6,50,3.832,3.827,3.822,3.826,0,0,0,138.11,7351.800949,0,6,P-GPS,
409300,10/10/2019 18:50,19.28332051,-99.13858422,0,,,7351.800949,0,0.055302823,9,0,0,7351.800949,0,0,0.055302823,0,0,0,131.9,-0.1,0.1,0,0,364,364,364,1634,136.5,-37.6,50,3.832,3.827,3.822,3.826,0,0,0,138.11,7351.800949,0,6,P-GPS,
409400,10/10/2019 18:50,19.28332051,-99.13858422,0,,,7351.800949,0,0.054860566,9,0,0,7351.800949,0,0,0.055302823,0,0,0,131.9,-0.1,0.1,0,0,364,364,364,1636,136.5,-37.6,50,3.832,3.827,3.822,3.826,0,0,0,138.11,7351.800949,0,6,P-GPS,
409500,10/10/2019 18:50,19.28332055,-99.13858402,0,,,7351.800949,0,0.06074869,10,0,0,7351.800949,0,0,0.06074869,0,0,0,132,-0.1,0.1,0,0,364,364,364,1594,136.5,-37.6,50,3.832,3.827,3.822,3.826,0,0,0,138.11,7351.800949,0,6,P-GPS,
409600,10/10/2019 18:50,19.28332055,-99.13858402,0,,,7351.800949,0,0.061524608,10,0,0,7351.800949,0,0,0.061524608,0,0,0,131.9,-0.1,0,0,0,364,364,364,1606,136.5,-37.6,50,3.832,3.827,3.822,3.826,0,0,0,138.11,7351.800949,0,6,P-GPS,
409700,10/10/2019 18:50,19.28332055,-99.13858402,0,,,7351.800949,0,0.062203414,10,0,0,7351.800949,0,0,0.062203414,0,0,0,131.9,-0.1,0,0,0,364,364,364,1574,136.5,-37.6,50,3.832,3.827,3.822,3.826,0,0,0,138.11,7351.800949,0,6,P-GPS,
409800,10/10/2019 18:50,19.28332057,-99.13858402,0,,,7351.800949,0,0.058941603,10,0,0,7351.800949,0,0,0.062203414,0,0,0,131.9,-0.1,0.1,0,0,364,364,364,1548,136.6,-37.6,50,3.832,3.827,3.822,3.826,0,0,0,138.11,7351.800949,0,6,P-GPS,
409900,10/10/2019 18:50,19.28332077,-99.13858372,0,,,7351.800949,0,0.160684716,10,0,15.307,7351.800949,0,0,0.160684716,0,0,0,131.9,-0.1,0.1,0,0,364,364,364,1559,136.5,-37.6,50,3.832,3.827,3.822,3.826,0,0,0.923,138.11,7351.800949,0,6,P-GPS,Setting new Return-To-Home altitude to 30m (98 ft). Data Recorder File Index is 411
410000,10/10/2019 18:50,19.28332077,-99.13858372,0,,,7351.800949,0,0.161148627,10,0,15.307,7351.800949,0,0,0.161148627,0,0,0,131.9,-0.1,0,0,0,364,364,364,1550,136.6,-37.6,50,3.832,3.827,3.822,3.826,0,0,0.923,138.11,7351.800949,0,6,P-GPS,
